question,answer_agent,answer_orig,tool_calls,cost,document
"What’s the usual weekly routine for this course, from videos to homework submission?","The usual weekly workflow is:

1. Watch the lesson videos  
2. Work through the lesson notebooks/code  
3. Read the homework instructions on GitHub  
4. Submit your answers through the course platform before the deadline  

A couple of notes:
- You can start whenever you want.
- The videos and GitHub materials are available anytime.
- Deadlines are listed in the course management platform.

If you want, I can also point you to the exact docs/repo links for the course.","Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).

You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

A typical workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

Homework is similar to the lesson flow, but uses a different dataset or slightly different task.","[{'name': 'search', 'arguments': '{""query"":""usual weekly routine videos homework submission course weekly routine""}'}]",0.0014700,04919992b3
"Can I begin LLM Zoomcamp at any time, or do I have to wait for a specific start date?","Yes — you can begin LLM Zoomcamp whenever you want. The videos and GitHub materials are available, and the FAQ says you can start learning and submitting homework while the form is open, without waiting for a specific registration confirmation.

One caveat: if you want to earn a certificate, you need to finish with a live cohort rather than in self-paced mode.","Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).

You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

A typical workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

Homework is similar to the lesson flow, but uses a different dataset or slightly different task.","[{'name': 'search', 'arguments': '{""query"":""LLM Zoomcamp begin at any time specific start date self-paced start date""}'}]",0.0012675,04919992b3
Where do I find the deadlines and the homework instructions for each week?,"You can find them in the **LLM Zoomcamp course management platform**, which has the **current cohort structure, homework, deadlines, and progress tracking**:

- https://courses.datatalks.club/llm-zoomcamp-2026/

For the actual **weekly homework instructions**, also check the **course GitHub repo**, since it often includes extra context:

- https://github.com/DataTalksClub/llm-zoomcamp/tree/main/cohorts/2026/01-agentic-rag
- https://github.com/DataTalksClub/llm-zoomcamp/blob/main/cohorts/2026/01-agentic-rag/homework.md

If you want, I can also point you to the exact page for a specific week/module.","Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).

You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

A typical workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

Homework is similar to the lesson flow, but uses a different dataset or slightly different task.","[{'name': 'search', 'arguments': '{""query"":""deadlines homework instructions each week where find""}'}]",0.0016710,04919992b3
"Is the homework basically the same as the lessons, or does it use different tasks and data?","The homework usually follows the lesson workflow, but it often uses a different dataset or asks you to apply the same ideas in a slightly different way.

So:
- **Same general concepts/skills** as the lessons
- **Not always the exact same tasks or data**

If you want, I can also point you to the homework instructions for the current module.","Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).

You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

A typical workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

Homework is similar to the lesson flow, but uses a different dataset or slightly different task.","[{'name': 'search', 'arguments': '{""query"":""homework lessons same different tasks data FAQ""}'}]",0.00128775,04919992b3
How do I find my own entry on the leaderboard if I can’t spot it right away?,"Click the **“Jump to your record on the leaderboard”** link — it will take you straight to your entry.

If you want to check your displayed nickname, go to **“Edit Course Profile”**. The first field is your public display name, and the second is your official certificate name.","When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!","[{'name': 'search', 'arguments': '{""query"":""find my own entry on the leaderboard can\'t spot it right away""}'}]",0.0012090,c2903069a0
Why does the leaderboard show a random name for me instead of my real one?,"The leaderboard uses a separate **display name**, not your certificate name. By default, that display name is a **random nickname** like “Lucid Elbakyan,” so that’s what appears publicly.

You can change it in **Edit Course Profile**:
- **First field:** leaderboard/display name
- **Second field:** certificate name

If you want, I can also tell you how to find your exact entry on the leaderboard.","When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!","[{'name': 'search', 'arguments': '{""query"":""leaderboard random name instead of real name random name leaderboard real name""}'}]",0.00148425,c2903069a0
Where can I check what my displayed name currently is in the course profile?,"You can check it by clicking **“Edit Course Profile”** — the **first field** is your **displayed name / nickname**.

If you want, you can also use **“Jump to your record on the leaderboard”** to find your entry.","When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!","[{'name': 'search', 'arguments': '{""query"":""displayed name current course profile where can I check my displayed name""}'}]",0.00124425,c2903069a0
Can I change the nickname shown on the leaderboard to my Slack or GitHub name?,"Yes. The FAQ says you can change the first field in **Edit Course Profile** to your preferred public nickname, including your **Slack username**, **GitHub username**, or any other nickname you want.

A couple of notes:
- That nickname is what appears on the **leaderboard**.
- The second field is your **official name** for the certificate.

If you want, I can also explain how to find the “Edit Course Profile” page.","When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!","[{'name': 'search', 'arguments': '{""query"":""change nickname leaderboard Slack GitHub name""}'}]",0.00140925,c2903069a0
What do I need to update so my certificate shows my real legal name instead of a random alias?,"Update the **second field** in **Edit Course Profile** — that’s the name printed on your certificate.

- **First field:** your public nickname/display name for the leaderboard
- **Second field:** your **official legal name** exactly as on your ID/passport

If the certificate is showing a random alias, it usually means the second field hasn’t been updated yet.","When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!","[{'name': 'search', 'arguments': '{""query"":""certificate shows real legal name instead of random alias update legal name certificate alias""}'}]",0.0012885,c2903069a0
Can I do this course at my own pace and still get a certificate at the end?,"No — you can follow the course in self-paced mode, but you won’t get a certificate that way.

The FAQ says certificates are only awarded if you finish with a live cohort, because you need to peer-review capstone projects while the course is running. Once the peer-review period closes, certificates aren’t available for self-paced participation.","No, you can only get a certificate if you finish the course with a ""live"" cohort.

We don't award certificates for the self-paced mode. The reason is you need to peer-review 3 capstone(s) after submitting your project.

You can only peer-review projects at the time the course is running; after the form is closed and the peer-review list is compiled.","[{'name': 'search', 'arguments': '{""query"":""self-paced certificate course own pace certificate end""}'}]",0.00118425,69d122f12e
"Do you give certificates for the self-paced version of the course, or only for the live run?","You only get a certificate if you finish the course with a live cohort.

There are no certificates for the self-paced version, because the certificate requires peer-reviewing 3 capstones, and that can only be done while the course is actively running.","No, you can only get a certificate if you finish the course with a ""live"" cohort.

We don't award certificates for the self-paced mode. The reason is you need to peer-review 3 capstone(s) after submitting your project.

You can only peer-review projects at the time the course is running; after the form is closed and the peer-review list is compiled.","[{'name': 'search', 'arguments': '{""query"":""certificates self-paced live run course""}'}]",0.0011100,69d122f12e
"If I finish all the lessons later on my own, will I still be able to receive the course certificate?","No — if you mean completing it in **self-paced mode later on your own**, you **won’t be able to receive the course certificate**.

According to the FAQ, certificates are only awarded if you finish the course with a **live cohort**. The reason is that certificate eligibility requires the peer-review/capstone process, which is only available while the course is running.

If you want, I can also explain the difference between **self-paced participation** and **certificate eligibility**.","No, you can only get a certificate if you finish the course with a ""live"" cohort.

We don't award certificates for the self-paced mode. The reason is you need to peer-review 3 capstone(s) after submitting your project.

You can only peer-review projects at the time the course is running; after the form is closed and the peer-review list is compiled.","[{'name': 'search', 'arguments': '{""query"":""finish all lessons later on my own still able to receive course certificate""}'}]",0.0013515,69d122f12e
Why isn’t a certificate available for people taking the course in self-paced mode?,"No — certificates are only available for the live cohort, not for self-paced study.

The reason is that earning a certificate requires you to peer-review 3 capstone projects after submitting your own project. That peer-review step can only happen while the course is running, because once submissions close, the peer-review list is finalized and the form is no longer open.","No, you can only get a certificate if you finish the course with a ""live"" cohort.

We don't award certificates for the self-paced mode. The reason is you need to peer-review 3 capstone(s) after submitting your project.

You can only peer-review projects at the time the course is running; after the form is closed and the peer-review list is compiled.","[{'name': 'search', 'arguments': '{""query"":""certificate self-paced mode not available why""}'}]",0.00114225,69d122f12e
"Is peer-review required for the certificate, and can it be done after the course is over?","Yes — peer-review is required for the certificate. The course FAQ says you need to peer-review 3 capstones after submitting your project.

And no, it can’t be done after the course is over. You can only peer-review projects while the course is running, before the form closes and the peer-review list is compiled.

","No, you can only get a certificate if you finish the course with a ""live"" cohort.

We don't award certificates for the self-paced mode. The reason is you need to peer-review 3 capstone(s) after submitting your project.

You can only peer-review projects at the time the course is running; after the form is closed and the peer-review list is compiled.","[{'name': 'search', 'arguments': '{""query"":""peer-review required certificate after course over""}'}]",0.0010950,69d122f12e
Can I still earn the course certificate if I skipped the first homework?,"Yes — skipping the first homework does **not** prevent you from getting the certificate.

According to the course FAQ, **homework is not mandatory**. To earn the certificate, you need to **pass the Capstone project**. Homework points are mainly for **reinforcing concepts** and **affecting your leaderboard rank**.

One important note: if you’re asking about the certificate in general, you must still finish the course with the **live cohort**; the course does **not** award certificates for self-paced participation.","Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.","[{'name': 'search', 'arguments': '{""query"":""course certificate skipped first homework earn certificate homework requirement""}'}]",0.00135525,9f689c185f
"Is the first homework required in order to get the certificate, or is the capstone enough?","The first homework is **not required** for the certificate. According to the FAQ, you only need to **pass the Capstone project** to get the certificate. Homework is optional, though recommended for practice.

If you want, I can also clarify whether you need to be in the live cohort to receive the certificate.","Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.","[{'name': 'search', 'arguments': '{""query"":""certificate homework capstone first homework required certificate capstone enough""}'}]",0.0011550,9f689c185f
"If homework isn’t mandatory, what do I actually need to finish for the certificate?","For the certificate, homework is **not mandatory**. What you actually need is to **pass the Capstone project**.

Also, to get a certificate you must **finish the course with a live cohort** — certificates aren’t awarded for self-paced participation because the process includes **peer-reviewing 3 capstones** after submitting your project.

If you want, I can also summarize the full certificate requirements in one checklist.","Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.","[{'name': 'search', 'arguments': '{""query"":""homework not mandatory certificate what do I need to finish for the certificate""}'}]",0.00135375,9f689c185f
"Do homework scores matter for the certificate, or are they only for something else?","Homework scores are not required for the certificate. You need to pass the Capstone project to get the certificate. Homework is mainly for reinforcing the material, and the points count toward your leaderboard rank.","Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.","[{'name': 'search', 'arguments': '{""query"":""homework scores certificate matter only for something else""}'}]",0.0011625,9f689c185f
What’s the main requirement to receive the certificate in this course?,"The main requirement is to **finish the course with a live cohort and pass the Capstone project**. Homework is **not mandatory** for the certificate, but you **must submit your project while submissions are still open** and, for the live cohort, **peer-review 3 capstone projects** as part of the process.","Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.","[{'name': 'search', 'arguments': '{""query"":""certificate main requirement receive certificate course""}'}]",0.001050,9f689c185f
"Why does the homework keep changing, and how can I tell when it’s actually ready?","It changes while it’s still a draft. The homework is **actually ready only when both are true**:

- The **homework form is open** on the course platform.
- The homework title **does not contain `[DRAFT]`**.

Until then, the content can still change, so anything you do before it’s finalized is at your own risk.","If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.","[{'name': 'search', 'arguments': '{""query"":""homework keep changing ready when actually ready homework changing finalized updated posted""}'}]",0.00134925,96286b4be4
"If I see [DRAFT] in the homework title, does that mean I shouldn’t trust the current version yet?","Yes — if the homework title contains `[DRAFT]`, it means the homework is **not ready yet** and the content can still change.

It’s considered ready only when:

- the homework form is open on the course platform, and
- the title **does not** contain `[DRAFT]`.

So you shouldn’t rely on the current version yet; working on it early is at your own risk because the final version may differ.","If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.","[{'name': 'search', 'arguments': '{""query"":""[DRAFT] homework title current version trust""}'}]",0.00145575,96286b4be4
"When is a homework assignment considered final: only when the form is open, or also when the title no longer says [DRAFT]?","A homework assignment is considered final only when **both** conditions are true:

- the **submission form is open**, and
- the title **no longer says `[DRAFT]`**.

If either one is not true, the homework can still change.","If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.","[{'name': 'search', 'arguments': '{""query"":""homework assignment final form open title [DRAFT] homework final considered final""}'}]",0.00117675,96286b4be4
"Is it safe to start doing the homework before it’s officially ready, or could the tasks still change later?","Yes — it’s okay to start early, but do it at your own risk.

The homework is considered ready only when:
- the homework form is open on the course management platform, and
- the title does **not** contain `[DRAFT]`.

Until then, the content can still change, so the tasks may be different later.","If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.","[{'name': 'search', 'arguments': '{""query"":""homework start before officially ready tasks could change later""}'}]",0.0013920,96286b4be4
What does the [DRAFT] label on a homework mean in practice for students working ahead?,"In practice, a homework marked `[DRAFT]` is **not ready yet**, so students working ahead should treat it as **unstable**.

What that means:
- The homework can still change.
- The final version is only considered ready when:
  - the homework form is open on the course platform, and
  - the title **no longer** contains `[DRAFT]`.

So if you work on it early, do so **at your own risk**, because questions, wording, or even expected answers may be different later.","If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.","[{'name': 'search', 'arguments': '{""query"":""[DRAFT] label homework meaning students working ahead practice""}'}]",0.00154875,96286b4be4
When is the next time this course will be offered?,The course will next be offered in **Summer 2027**.,Summer 2027.,"[{'name': 'search', 'arguments': '{""query"":""next time course will be offered schedule next offering""}'}]",0.0007785,bd31146b0e
