question,answer_llm,answer_orig,document
How are we supposed to ask questions during live sessions like Office Hours—should I use chat or something else?,"During live sessions, don’t post questions in the chat if you can avoid it — they may get missed.

Students should submit questions via **Slido**; the link is usually **pinned in the chat when the session is live**. For non-live questions, ask in **Slack** and follow the course’s asking-questions guidelines.","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.",489dd1c9d9
"Is there a public video link for workshop streams, and where is it usually announced before the session starts?","Yes. The workshop/live session video is available publicly on the DataTalksClub YouTube Channel, and the video URL is usually announced in the Telegram and Slack announcements channel before the session starts.","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.",489dd1c9d9
"Why can’t students get the Zoom link for live sessions, and how do we join anyway?","The Zoom link is only published to instructors, presenters, and TAs.

Students join live sessions via **YouTube Live** instead. The live video link is posted in the **announcements channel on Telegram and Slack** before the session starts, and the link is also available on the **DataTalksClub YouTube channel**.

For questions, use **Slido** during the live session rather than chat, since chat messages may be missed.","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.",489dd1c9d9
What’s the best way to follow and participate in Office Hours live if I’m not an instructor or TA?,"Students can’t get the Zoom link directly, because it’s only published to instructors/presenters/TAs.

The best way to follow and participate is:

- Watch the session live on the DataTalksClub YouTube channel
- Use the Slido link pinned in chat during the live session to submit questions
- Check the announcements channel on Telegram and Slack for the livestream link before it starts

Also, don’t post questions in the chat, since they may be missed.","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.",489dd1c9d9
How do I get started with the LLM Zoomcamp and what should I read first?,"Start with these three resources:

1. the **LLM Zoomcamp docs**  
2. the **general Zoomcamp logistics docs**  
3. the **LLM Zoomcamp GitHub repository**

Then follow the usual workflow:

1. Watch the lesson videos
2. Work through the lesson notebooks/code
3. Read the homework instructions on GitHub
4. Submit your answers on the course platform before the deadline

You can start anytime, and the deadlines are listed on the **course management platform**.","Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).

You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

A typical workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

Homework is similar to the lesson flow, but uses a different dataset or slightly different task.",04919992b3
"What’s the usual weekly routine for this course, from videos to homework submission?","A typical weekly routine is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit your answers through the course platform before the deadline.

Homework usually follows the lesson flow, but uses a different dataset or a slightly different task.","Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).

You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

A typical workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

Homework is similar to the lesson flow, but uses a different dataset or slightly different task.",04919992b3
"Can I begin LLM Zoomcamp at any time, or do I have to wait for a specific start date?","You can start whenever you want — you do **not** have to wait for a specific start date. The course videos and GitHub materials are available, and you can begin learning and submitting homework while the homework form is open.","Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).

You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

A typical workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

Homework is similar to the lesson flow, but uses a different dataset or slightly different task.",04919992b3
Where do I find the deadlines and the homework instructions for each week?,"You can find the weekly deadlines on the **LLM Zoomcamp course management platform**:  
https://courses.datatalks.club/llm-zoomcamp-2026/

For the homework instructions, check the **GitHub course repo**. For Module 1, use:  
- Cohort materials: https://github.com/DataTalksClub/llm-zoomcamp/tree/main/cohorts/2026/01-agentic-rag  
- Homework instructions: https://github.com/DataTalksClub/llm-zoomcamp/blob/main/cohorts/2026/01-agentic-rag/homework.md

The platform is best for **deadlines and submission**, while the GitHub instructions often have **extra context**.","Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).

You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

A typical workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

Homework is similar to the lesson flow, but uses a different dataset or slightly different task.",04919992b3
"Is the homework basically the same as the lessons, or does it use different tasks and data?","The homework can use different tasks, data, or even a different setup than the lessons. In particular, the context says you should watch for homework-specific instructions and not assume it matches the lesson exactly.

So: it’s **not always the same as the lessons**.","Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).

You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

A typical workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

Homework is similar to the lesson flow, but uses a different dataset or slightly different task.",04919992b3
How do I find my own entry on the leaderboard if I can’t spot it right away?,Click the **“Jump to your record on the leaderboard”** link — it will take you directly to your entry.,"When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!",c2903069a0
Why does the leaderboard show a random name for me instead of my real one?,"Because the leaderboard uses your separate **display name**, which is assigned as a **random anonymous nickname** by default, not the name you enter for the certificate.

If you want, you can change it in **Edit Course Profile**:
- **First field:** public nickname for the leaderboard
- **Second field:** official name for the certificate","When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!",c2903069a0
Where can I check what my displayed name currently is in the course profile?,You can check it in **“Edit Course Profile”**. The **first field** is your **displayed name / public nickname** shown on the leaderboard.,"When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!",c2903069a0
Can I change the nickname shown on the leaderboard to my Slack or GitHub name?,"Yes. In **Edit Course Profile**, the **first field** is your public **nickname/display name** for the leaderboard, and you can change it to your **Slack username, GitHub username, or any other nickname** you want.","When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!",c2903069a0
What do I need to update so my certificate shows my real legal name instead of a random alias?,Update the **second field** in **“Edit Course Profile”** to your **official legal name** as shown on your ID/passport/driver’s license. That’s the name that appears on your certificate.,"When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!",c2903069a0
Can I do this course at my own pace and still get a certificate at the end?,"No. You can follow the course in self-paced mode, but you won’t get a certificate that way. Certificates are only awarded if you finish the course with a live cohort, because you need to peer-review 3 capstones while the course is running.","No, you can only get a certificate if you finish the course with a ""live"" cohort.

We don't award certificates for the self-paced mode. The reason is you need to peer-review 3 capstone(s) after submitting your project.

You can only peer-review projects at the time the course is running; after the form is closed and the peer-review list is compiled.",69d122f12e
"Do you give certificates for the self-paced version of the course, or only for the live run?",You only get a certificate for the live cohort. No certificates are awarded for the self-paced version.,"No, you can only get a certificate if you finish the course with a ""live"" cohort.

We don't award certificates for the self-paced mode. The reason is you need to peer-review 3 capstone(s) after submitting your project.

You can only peer-review projects at the time the course is running; after the form is closed and the peer-review list is compiled.",69d122f12e
"If I finish all the lessons later on my own, will I still be able to receive the course certificate?","No. To receive the course certificate, you need to finish the course with the live cohort, not in self-paced mode.","No, you can only get a certificate if you finish the course with a ""live"" cohort.

We don't award certificates for the self-paced mode. The reason is you need to peer-review 3 capstone(s) after submitting your project.

You can only peer-review projects at the time the course is running; after the form is closed and the peer-review list is compiled.",69d122f12e
Why isn’t a certificate available for people taking the course in self-paced mode?,"Because certificates require peer-reviewing 3 capstone projects, and that can only happen while a live cohort is running. In self-paced mode, the course is not actively running, so the peer-review process is closed and certificates aren’t issued.","No, you can only get a certificate if you finish the course with a ""live"" cohort.

We don't award certificates for the self-paced mode. The reason is you need to peer-review 3 capstone(s) after submitting your project.

You can only peer-review projects at the time the course is running; after the form is closed and the peer-review list is compiled.",69d122f12e
"Is peer-review required for the certificate, and can it be done after the course is over?","Yes. Peer-review is required for the certificate, and it cannot be done after the course is over.

You need to peer-review 3 capstone projects, and this is only possible while the course is running, after submissions close and the review list is compiled.","No, you can only get a certificate if you finish the course with a ""live"" cohort.

We don't award certificates for the self-paced mode. The reason is you need to peer-review 3 capstone(s) after submitting your project.

You can only peer-review projects at the time the course is running; after the form is closed and the peer-review list is compiled.",69d122f12e
Can I still earn the course certificate if I skipped the first homework?,Yes. Homework is not mandatory for the certificate. You just need to pass the Capstone project to get the certificate.,"Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.",9f689c185f
"Is the first homework required in order to get the certificate, or is the capstone enough?","No — the first homework is not required for the certificate. You only need to pass the Capstone project. Homework is optional, though it can help reinforce the material and counts toward your leaderboard rank.","Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.",9f689c185f
"If homework isn’t mandatory, what do I actually need to finish for the certificate?",You need to **pass the Capstone project** to get the certificate. Homework is **not mandatory**.,"Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.",9f689c185f
"Do homework scores matter for the certificate, or are they only for something else?","Homework scores are **not required for the certificate**. You only need to **pass the Capstone project** to get the certificate.

Homework is still useful because:
- it helps reinforce the concepts,
- and the points count toward your **leaderboard rank**.

","Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.",9f689c185f
What’s the main requirement to receive the certificate in this course?,"The main requirement is to **finish the course with a live cohort** and **submit your capstone project while submissions are still open**. To get the certificate, you also need to **peer-review 3 capstone projects** after submitting yours.","Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.",9f689c185f
"Why does the homework keep changing, and how can I tell when it’s actually ready?","The homework keeps changing because it may still be in **draft** form.

It’s actually ready only when **both** of these are true:

- The homework form is **open** on the course management platform.
- The homework title does **not** contain **`[DRAFT]`**.

Until then, the content can still change, so working on it early is at your own risk.","If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.",96286b4be4
"If I see [DRAFT] in the homework title, does that mean I shouldn’t trust the current version yet?","Yes. If the homework title contains `[DRAFT]`, the homework is not ready yet, so the current version can still change and shouldn’t be fully trusted. The homework is ready only when the form is open and the title no longer contains `[DRAFT]`.","If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.",96286b4be4
"When is a homework assignment considered final: only when the form is open, or also when the title no longer says [DRAFT]?","A homework assignment is considered ready/final only when **both** are true:

- the homework form is **open**, and
- the homework title **does not contain `[DRAFT]`**.

So it’s not final just because the form is open; the `[DRAFT]` tag must also be gone.","If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.",96286b4be4
"Is it safe to start doing the homework before it’s officially ready, or could the tasks still change later?","It’s **at your own risk** to start early. If the homework title contains **`[DRAFT]`**, the homework is **not ready yet**, and the content **can still change later**.

The homework is only considered ready when:

- the homework form is open on the course management platform, and
- the title **does not** contain `[DRAFT]`.

So yes, tasks could still change before then.","If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.",96286b4be4
What does the [DRAFT] label on a homework mean in practice for students working ahead?,"In practice, `[DRAFT]` means the homework is **not finalized yet**.

So if students work ahead:

- the homework content can still change,
- the final version may differ from what they started on,
- and they are working at their own risk until:
  - the homework form is open on the course platform, and
  - the title no longer contains `[DRAFT]`.","If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.",96286b4be4
When is the next time this course will be offered?,Summer 2027.,Summer 2027.,bd31146b0e
Do you know the next run date for this course?,The next run date is **Summer 2027**.,Summer 2027.,bd31146b0e
What’s the upcoming offering for this course?,I don’t know.,Summer 2027.,bd31146b0e
When can I take this course again?,The course will be offered next in **Summer 2027**.,Summer 2027.,bd31146b0e
Is there a summer 2027 session planned for the course?,Yes — the course next offering is planned for **Summer 2027**.,Summer 2027.,bd31146b0e
Where can I find the course videos or lecture links for each lesson?,"Use the **LLM Zoomcamp GitHub repository** as the main entry point:  
https://github.com/DataTalksClub/llm-zoomcamp

Open the **lesson folders** there — each lesson page has the relevant **video/lecture links at the top**. If there’s any mismatch, prefer the GitHub repo over the YouTube playlist because it’s easier to keep updated.","Use the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp) as the main entry point.

Open the lesson folders in the repo. Each lesson page has the relevant videos linked at the top.

<{IMAGE:lessons}>

When in doubt, follow the GitHub repo first, because it is easier to keep updated than the YouTube playlist.",31456f4b5f
Is there a main place I should start from to access the lessons and videos?,"Yes — the main entry point is the **LLM Zoomcamp GitHub repository**.

From there, open the **lesson folders**; each lesson page has the relevant **videos linked at the top**. If you’re unsure, follow the GitHub repo first since it’s kept more up to date than the YouTube playlist.","Use the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp) as the main entry point.

Open the lesson folders in the repo. Each lesson page has the relevant videos linked at the top.

<{IMAGE:lessons}>

When in doubt, follow the GitHub repo first, because it is easier to keep updated than the YouTube playlist.",31456f4b5f
"Do I need to use the YouTube playlist, or is there a better source for the lectures?","Use the **LLM Zoomcamp GitHub repository as the main entry point**. Each lesson folder has the relevant lecture videos linked at the top, and the repo is **easier to keep updated than the YouTube playlist**.

So: **follow the GitHub repo first**; the YouTube playlist is not the preferred source.","Use the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp) as the main entry point.

Open the lesson folders in the repo. Each lesson page has the relevant videos linked at the top.

<{IMAGE:lessons}>

When in doubt, follow the GitHub repo first, because it is easier to keep updated than the YouTube playlist.",31456f4b5f
How do I find the videos for a specific lesson in the repo?,"Open the **LLM Zoomcamp GitHub repository** and go into the **specific lesson folder**. On each lesson page, the relevant videos are linked at the top.

If you’re unsure, start from the repo rather than the YouTube playlist, since the repo is easier to keep updated.","Use the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp) as the main entry point.

Open the lesson folders in the repo. Each lesson page has the relevant videos linked at the top.

<{IMAGE:lessons}>

When in doubt, follow the GitHub repo first, because it is easier to keep updated than the YouTube playlist.",31456f4b5f
What’s the best link to check first if I want the latest lecture materials?,"The best place to check first is the **GitHub course materials / homework instructions** for your module.

For Module 1, start here:
- **Module 1 cohort materials:** https://github.com/DataTalksClub/llm-zoomcamp/tree/main/cohorts/2026/01-agentic-rag
- **Module 1 homework instructions:** https://github.com/DataTalksClub/llm-zoomcamp/blob/main/cohorts/2026/01-agentic-rag/homework.md

If you mean general lecture materials, the context doesn’t give a single “latest materials” link, so I don’t know.","Use the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp) as the main entry point.

Open the lesson folders in the repo. Each lesson page has the relevant videos linked at the top.

<{IMAGE:lessons}>

When in doubt, follow the GitHub repo first, because it is easier to keep updated than the YouTube playlist.",31456f4b5f
How do I keep track of the LLM Zoomcamp syllabus and upcoming deadlines in one place?,"Use the [LLM Zoomcamp course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/). It contains the syllabus, homework, deadlines, and progress tracking all in one place.","Use the [LLM Zoomcamp course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

It contains the current cohort structure, homework, deadlines, and progress tracking. The process is the same as in other DataTalks.Club Zoomcamps.",20c5a1347e
"Is there a course platform for checking homework, progress, and the current cohort setup?","Yes — use the **LLM Zoomcamp course management platform**:  
https://courses.datatalks.club/llm-zoomcamp-2026/

It contains the **current cohort structure, homework, deadlines, and progress tracking**.","Use the [LLM Zoomcamp course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

It contains the current cohort structure, homework, deadlines, and progress tracking. The process is the same as in other DataTalks.Club Zoomcamps.",20c5a1347e
Where should I go to follow the LLM Zoomcamp schedule and see what’s next?,"Go to the **LLM Zoomcamp course management platform**:  
https://courses.datatalks.club/llm-zoomcamp-2026/

That’s where you can follow the syllabus, deadlines, homework, and track what’s next.","Use the [LLM Zoomcamp course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

It contains the current cohort structure, homework, deadlines, and progress tracking. The process is the same as in other DataTalks.Club Zoomcamps.",20c5a1347e
What’s the best way to monitor my homework and overall progress in LLM Zoomcamp?,"The best way is to use the **LLM Zoomcamp course management platform**:

- It tracks the **syllabus, deadlines, homework, and your progress**
- It’s the main place for **submission and deadline tracking**

You should also use the **GitHub repository / homework instructions** alongside it, especially when homework questions are unclear.

Course platform:
- https://courses.datatalks.club/llm-zoomcamp-2026/

GitHub repo:
- https://github.com/DataTalksClub/llm-zoomcamp","Use the [LLM Zoomcamp course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

It contains the current cohort structure, homework, deadlines, and progress tracking. The process is the same as in other DataTalks.Club Zoomcamps.",20c5a1347e
"Is there a central site for the LLM Zoomcamp curriculum, deadlines, and cohort info?","Yes — the central site is the **LLM Zoomcamp course management platform**:

[https://courses.datatalks.club/llm-zoomcamp-2026/](https://courses.datatalks.club/llm-zoomcamp-2026/)

It includes the current cohort structure, homework, deadlines, and progress tracking.","Use the [LLM Zoomcamp course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

It contains the current cohort structure, homework, deadlines, and progress tracking. The process is the same as in other DataTalks.Club Zoomcamps.",20c5a1347e
"Do we get live classes or office hours for every module in LLM Zoomcamp, or is everything pre-recorded by default?","Everything is pre-recorded by default. There are no separate live sessions or office hours for every module.

If live sessions happen, they’re announced separately. For extra support, there’s also the optional paid AI Shipping Labs community, which includes regular Zoom office hours.","There are no separate live sessions for every module by default. Module materials are pre-recorded and available in the course repo.

Live sessions are announced separately when they happen. If you are stuck, ask your question in Slack and follow the [asking questions guidelines](https://datatalks.club/docs/courses/zoomcamp-logistics/asking-questions/).

Optional extra support is available through [AI Shipping Labs](https://datatalks.club/docs/courses/llm-zoomcamp/ai-shipping-labs/), a paid community that includes regular Zoom office hours and additional structure. This is optional; the DataTalks.Club course content remains free.",d65e05bd7a
"If I have a question while going through a module, where should I ask it instead of waiting for a live session?","Ask in Slack, and follow the asking questions guidelines.","There are no separate live sessions for every module by default. Module materials are pre-recorded and available in the course repo.

Live sessions are announced separately when they happen. If you are stuck, ask your question in Slack and follow the [asking questions guidelines](https://datatalks.club/docs/courses/zoomcamp-logistics/asking-questions/).

Optional extra support is available through [AI Shipping Labs](https://datatalks.club/docs/courses/llm-zoomcamp/ai-shipping-labs/), a paid community that includes regular Zoom office hours and additional structure. This is optional; the DataTalks.Club course content remains free.",d65e05bd7a
"Are any live sessions for the course scheduled regularly, or do they only happen when the team announces them?","Live sessions are **not scheduled regularly for each module**. The course materials are **pre-recorded**, and **live sessions are announced separately when they happen**.","There are no separate live sessions for every module by default. Module materials are pre-recorded and available in the course repo.

Live sessions are announced separately when they happen. If you are stuck, ask your question in Slack and follow the [asking questions guidelines](https://datatalks.club/docs/courses/zoomcamp-logistics/asking-questions/).

Optional extra support is available through [AI Shipping Labs](https://datatalks.club/docs/courses/llm-zoomcamp/ai-shipping-labs/), a paid community that includes regular Zoom office hours and additional structure. This is optional; the DataTalks.Club course content remains free.",d65e05bd7a
